, ,instrument date,district,property,floor,unit,area_sq.ft.,price,price/sq.ft.,source,e_n
83, ,11/06/2019,Kwun Tong,"No. 0047, High Win Factory Building, Hoi Yuen Road, Kwun Tong, Kowloon",12,D,1200,18000.0,@$15,Market,"(841076, 819021)"
84, ,11/06/2019,Central,"No. 0016-0018, New World Tower I, Queen's Road Central, Central, Hong Kong",26,WF,10376,1040000.0,@$100,Market,"(834248, 815761)"
85, ,11/06/2019,San Po Kong,"No. 0003, Maxgrand Plaza, Tai Yau Street, San Po Kong, Kowloon",28,A,2627,94000.0,@$36,Land Registry,"(838565, 822127)"
86, ,11/06/2019,Yuen Long,"No. 0001-0005, Hung Wai Industrial Building, Hi Yip Street., Yuen Long, New Territories",8,F,2817,33804.0,@$12,Market,"(820957, 834473)"
87, ,11/06/2019,Yau Tong,"No. 0610, Sunray Industrial Centre, Cha Kwo Ling Road, Yau Tong, Kowloon",7,1,1952,23424.0,@$12,Market,"(842540, 817423)"
88, ,11/06/2019,Kwun Tong,"No. 0044-0046, Century Centre (KT), Hung To Road, Kwun Tong, Kowloon",G,03B,1100,45000.0,@$41,Market,"(840844, 819135)"
89, ,11/06/2019,Shek Mun,"No. 0003, Kings Wing Plaza 1, On Kwan Street, Shek Mun, New Territories",9,E,801,32040.0,@$40,Market,"(839502.7, 827757.8)"
90, ,11/06/2019,Shek Mun,"No. 0003, Kings Wing Plaza 1, On Kwan Street, Shek Mun, New Territories",9,H,1299,51960.0,@$40,Market,"(839502.7, 827757.8)"
91, ,11/06/2019,Kwun Tong,"No. 0016/0018, Mai Hing Industrial Building Block A, Hing Yip Street, Kwun Tong, Kowloon",11,A01,2215,35500.0,@$16,Market,"(841229, 818871)"
92, ,10/06/2019,Wan Chai,"Shop B on G/F, , No.0303 Hennessy Road, Wan Chai, Hong Kong",-,-,2464,250000.0,@$101,Market,"(835887.07146, 815416.809)"
93, ,10/06/2019,Causeway Bay,"Shop 125 on G/F, , Rita House, No.0123-0125 Leighton Road, Causeway Bay, Hong Kong",-,-,900,50000.0,@$56,Market,"(837250, 815491)"
94, ,10/06/2019,Wan Chai,"No. 0414-0424, Chinaweal Centre, Jaffe Road, Wan Chai, Hong Kong",9,A,1792,69888.0,@$39,Market,"(836653, 815700)"
95, ,10/06/2019,Kwun Tong,"No. 0052-0056, COS Centre, Tsun Yip Street, Kwun Tong, Kowloon",1,B,4229,136000.0,@$32,Market,"(840992, 819129)"
96, ,10/06/2019,Kwun Tong,"No. 0003, Wing Tai Factory Building, Tai Yip Street, Kwun Tong, Kowloon",13,W/F,3200,42000.0,@$13,Market,"(840338, 819593)"
97, ,10/06/2019,Kwun Tong,"No. 0062, Camelpaint Building Block 1, Hoi Yuen Road, Kwun Tong, Kowloon",8,A,3023,50000.0,@$17,Market,"(841228.8641, 819081.1207)"
98, ,10/06/2019,Tsuen Wan,"No. 0002-0006, The Octagon, Sha Tsui Road, Tsuen Wan, New Territories",25,10-11,2356,47120.0,@$20,Market,"(824155, 825435)"
99, ,10/06/2019,Sheung Shui,"No. 0039, Landmark North, Lung Sum Avenue, Sheung Shui, New Territories",18,3,1912,16250.0,@$9,Land Registry,"(831324, 844187)"
100, ,01/02/2019,Kwun Tong,"No. 0221, Mai Tak Industrial Building, Wai Yip Street, Kwun Tong, Kowloon",7,D(07),189,3213.0,@$17,Market,"(841034, 818836)"
101, ,01/02/2019,Tsuen Wan,"No. 78-84, Jing Ho Industrial Building, Wang Lung Street, Tsuen Wan, New Territories",18,B(02),310,4340.0,@$14,Market,"(830250, 825097)"
102, ,01/02/2019,North Point,"No. 0039, Kodak House II, Healthy Street East, North Point, Hong Kong",15,02-04,9493,212000.0,@$22,Land Registry,"(839415.6875, 817070.21875)"
103, ,01/02/2019,Yuen Long,"No. 0016, Forda Industrial Building, Wang Chau Road, Yuen Long, New Territories",10,B,9650,106150.0,@$11,Market,"(821088, 834159)"
104, ,01/02/2019,San Po Kong,"No. 0114, Chiap King Industrial Building, King Fuk Street, San Po Kong, Kowloon",5,A(03),166,2800.0,@$17,Market,"(838617, 821742)"
105, ,01/02/2019,Kwun Tong,"No. 0006, Fully Industrial Building, Tsun Yip Lane, Kwun Tong, Kowloon",2,B(12),228,3876.0,@$17,Market,"(841122, 819270)"
106, ,01/02/2019,Kwun Tong,"No. 0106, Crown Industrial Building, How Ming Street, Kwun Tong, Kowloon",3,1,1719,32661.0,@$19,Market,"(841106, 819207)"
